iter	RMSE
0	76558.42748
1	74463.21882
2	72389.09311
3	70497.69241
4	68497.91657
5	66741.94524
6	64983.14828
7	63307.6427
8	61649.89741
9	60105.37395
10	58611.76316
11	57163.26027
12	55750.58165
13	54509.71703
14	53132.06804
15	51922.8118
16	50785.72641
17	49609.95484
18	48478.45739
19	47455.81171
20	46473.21393
21	45582.05055
22	44645.4354
23	43790.06568
24	43042.048
25	42195.05112
26	41493.49386
27	40739.58826
28	40032.66501
29	39279.53718
30	38636.99082
31	38032.76378
32	37420.0152
33	36774.34959
34	36215.45804
35	35637.64414
36	35151.51103
37	34702.97282
38	34231.47473
39	33770.91731
40	33302.51384
41	32827.70502
42	32359.19733
43	31958.04283
44	31595.53775
45	31169.48813
46	30848.80489
47	30531.8021
48	30213.63701
49	29852.67049
50	29511.19197
51	29169.57393
52	28845.64299
53	28562.53111
54	28283.70484
55	28024.86337
56	27705.69052
57	27434.6273
58	27208.06083
59	26980.87769
60	26753.94954
61	26560.5506
62	26336.98382
63	26160.22516
64	25952.71832
65	25746.18087
66	25569.119
67	25360.12725
68	25165.99123
69	24952.04876
70	24718.61959
71	24557.20462
72	24408.54401
73	24238.41089
74	24088.71556
75	23959.48738
76	23757.81571
77	23580.77309
78	23416.7513
79	23257.35605
80	23147.19979
81	23095.31883
82	22911.15824
83	22847.43574
84	22735.55094
85	22594.48944
86	22557.64578
87	22429.70627
88	22330.04869
89	22187.56461
90	22101.43437
91	22030.1919
92	21922.2189
93	21893.7087
94	21802.956
95	21725.58792
96	21653.34636
97	21518.90423
98	21480.30294
99	21374.68589
100	21237.94874
101	21144.54512
102	21089.92508
103	21000.69209
104	20921.05179
105	20831.42239
106	20716.04495
107	20625.2515
108	20558.45607
109	20480.41033
110	20390.71347
111	20326.67368
112	20247.44018
113	20169.45144
114	20077.49658
115	20000.45577
116	19932.52383
117	19845.32302
118	19793.78737
119	19752.48865
120	19665.3857
121	19591.52707
122	19521.9519
123	19456.28021
124	19382.39186
125	19330.09348
126	19253.7045
127	19160.76272
128	19108.35818
129	19085.47424
130	19030.93506
131	18964.37787
132	18922.47778
133	18856.16325
134	18775.90669
135	18716.47667
136	18636.48939
137	18570.49534
138	18513.66103
139	18454.40758
140	18371.45845
141	18347.07013
142	18294.76817
143	18232.18537
144	18182.07994
145	18134.81608
146	18086.31884
147	18031.82001
148	17970.43122
149	17948.00872
150	17909.08634
151	17848.48195
152	17801.89755
153	17766.34293
154	17708.76798
155	17663.98527
156	17627.15955
157	17587.00065
158	17546.28128
159	17499.67041
160	17474.18395
161	17427.07721
162	17385.12941
163	17369.18186
164	17312.52802
165	17272.91325
166	17252.83387
167	17224.537
168	17149.5905
169	17087.71924
170	17035.68916
171	17004.81354
172	16964.12822
173	16925.79852
174	16908.37346
175	16873.8995
176	16858.16002
177	16827.02449
178	16782.2928
179	16738.37283
180	16696.00225
181	16668.5719
182	16618.28773
183	16568.34991
184	16545.98454
185	16519.69477
186	16479.12243
187	16419.63623
188	16389.29422
189	16360.00168
190	16315.40088
191	16298.93584
192	16276.49331
193	16243.01033
194	16233.40906
195	16194.46216
196	16143.41147
197	16119.49477
198	16099.9479
199	16084.01159
200	16049.55529
201	15999.67176
202	15962.46421
203	15949.72166
204	15944.34327
205	15926.3077
206	15916.73235
207	15899.61125
208	15863.49184
209	15826.1646
210	15784.99628
211	15722.0173
212	15690.19439
213	15672.52557
214	15624.29083
215	15576.8524
216	15539.65675
217	15518.92622
218	15511.09364
219	15483.56986
220	15443.88571
221	15437.576
222	15395.84308
223	15382.09885
224	15330.03621
225	15289.53372
226	15257.12742
227	15250.28695
228	15244.04957
229	15208.64969
230	15156.74895
231	15121.67567
232	15072.59264
233	15040.59774
234	14989.30041
235	14951.90995
236	14933.75095
237	14895.45225
238	14861.17118
239	14813.94925
240	14780.45579
241	14752.58818
242	14722.50292
243	14695.8362
244	14662.45735
245	14631.28301
246	14602.5427
247	14557.39216
248	14525.14205
249	14498.87913
250	14459.45795
251	14418.92086
252	14389.53474
253	14350.43932
254	14319.14059
255	14283.46915
256	14253.81221
257	14209.13609
258	14175.04224
259	14136.69621
260	14129.50004
261	14090.66403
262	14054.36674
263	14018.70992
264	13989.06367
265	13961.76971
266	13940.84775
267	13916.79254
268	13888.76731
269	13849.40203
270	13825.39751
271	13784.69531
272	13752.35231
273	13719.98108
274	13682.41766
275	13647.38297
276	13624.85169
277	13619.74106
278	13586.48189
279	13570.35527
280	13547.86298
281	13517.86327
282	13492.1548
283	13463.2406
284	13459.23827
