iter	Passed	Remaining
0	4	4957
1	10	5075
2	16	5434
3	22	5507
4	38	7587
5	43	7191
6	48	6891
7	54	6710
8	60	6609
9	65	6486
10	70	6338
11	85	7075
12	98	7485
13	103	7286
14	108	7099
15	112	6929
16	117	6775
17	121	6644
18	126	6528
19	131	6425
20	136	6346
21	156	6968
22	161	6861
23	166	6771
24	171	6685
25	176	6602
26	181	6524
27	186	6468
28	191	6412
29	196	6351
30	201	6300
31	206	6241
32	211	6188
33	215	6132
34	220	6074
35	225	6026
36	230	5992
37	235	5951
38	239	5909
39	244	5867
40	249	5829
41	253	5792
42	258	5757
43	263	5721
44	267	5687
45	274	5682
46	278	5655
47	283	5621
48	288	5603
49	293	5574
50	298	5546
51	303	5530
52	307	5501
53	312	5473
54	316	5444
55	321	5417
56	325	5392
57	330	5367
58	335	5343
59	339	5322
60	344	5303
61	349	5294
62	354	5272
63	359	5254
64	365	5255
65	369	5234
66	374	5218
67	379	5205
68	384	5190
69	389	5176
70	394	5163
71	399	5152
72	404	5140
73	422	5286
74	427	5268
75	431	5249
76	436	5230
77	441	5214
78	445	5197
79	450	5183
80	455	5168
81	460	5152
82	464	5134
83	469	5119
84	474	5105
85	478	5088
86	483	5073
87	488	5058
88	492	5044
89	497	5030
90	502	5015
91	506	5001
92	511	4985
93	515	4972
94	520	4958
95	525	4946
96	530	4935
97	535	4926
98	540	4919
99	545	4907
100	549	4895
101	555	4886
102	559	4874
103	564	4862
104	569	4852
105	573	4840
106	579	4833
107	584	4825
108	589	4820
109	595	4814
110	600	4806
111	605	4796
112	610	4790
113	615	4783
114	620	4774
115	625	4766
116	630	4758
117	635	4749
118	640	4741
119	645	4733
120	650	4725
121	655	4717
122	660	4707
123	664	4697
124	669	4689
125	674	4679
126	679	4669
127	684	4660
128	688	4650
129	693	4641
130	713	4732
131	717	4721
132	722	4710
133	727	4698
134	731	4687
135	736	4676
136	740	4666
137	745	4656
138	750	4646
139	754	4636
140	759	4625
141	763	4614
142	768	4605
143	772	4594
144	777	4586
145	782	4576
146	787	4567
147	792	4559
148	796	4550
149	801	4541
150	806	4536
151	811	4528
152	816	4519
153	821	4512
154	826	4504
155	831	4496
156	836	4488
157	840	4481
